pkey,mineralname,shortlist,abbrev
1,Actinolite,1,Act
2,Aegirine,1,Aeg
3,Augite,1,Aug
4,Albite,1,Ab
5,Alkali Feldspar,1,Afs
6,Allanite,1,Aln
7,Almandine,1,Alm
8,Alunite,1,Alu
9,Amphibole,1,Amp
10,Analcite,1,Anl
11,Anatase,1,Ant
12,Andalusite,1,And
13,Andradite,1,Adr
14,Anhydrite,1,Anh
15,Ankerite,1,Ank
16,Annite,1,Ann
17,Anorthite,1,An
18,Antigorite,1,Atg
19,Anthophyllite,1,Ath
20,Apatite,1,Ap
21,Aragonite,1,Arg
22,Arsenopyrite,1,Apy
23,Augite,1,Aug
24,Barite,1,Brt
25,Beryl,1,Brl
26,Biotite,1,Bt
27,Bornite,1,Bn
28,Brucite,1,Brc
29,Bustamite,1,Bst
30,Clinoamphibole,1,Cam
31,Clinopyroxene,1,Cpx
32,Calcite,1,Cal
33,Cassiterite,1,Cst
34,Chalcopyrite,1,Ccp
35,Chamosite,1,Chm
36,Chlorite,1,Chl
37,Chloritoid,1,Cld
38,Chromite,1,Chr
39,Chrysotile,1,Ctl
40,Cinnabar,1,Cin
41,Clinozoisite,1,Czo
42,Clinochlore,1,Clc
43,Coesite,1,Coe
44,Cordierite,1,Crd
45,Corrensite,1,Crr
46,Corundum,1,Crn
47,Cummingtonite,1,Cum
48,Diamond,1,Dia
49,Diopside,1,Di
50,Dolomite,1,Dol
51,Enstatite,1,En
52,Epidote,1,Ep
53,Fayalite,1,Fa
54,Feldspar,1,Fsp
55,Fluorite,1,Fl
56,Forsterite,1,Fo
57,Galena,1,Gn
58,Garnet,1,Grt
59,Gibbsite,1,Gbs
60,Glaucophane,1,Gln
61,Goethite,1,Gth
62,Graphite,1,Gr
63,Grossular,1,Grs
64,Gypsum,1,Gp
65,Halite,1,Hl
66,Hematite,1,Hem
67,Hornblende,1,Hbl
68,Hypersthene,1,Hyp
69,Illite,1,Ilt
70,Ilmenite,1,Ilm
71,Jadeite,1,Jd
72,Kaolinite,1,Kln
73,K-Feldspar,1,Kfs
74,Kyanite,1,Ky
75,Laumontite,1,Lmt
76,Lawsonite,1,Lws
77,Lepidolite,1,Lpd
78,Leucite,1,Lct
79,Lizardite,1,Lz
80,Magnesite,1,Mgs
81,Magnetite,1,Mag
82,Majorite,1,Maj
83,Malachite,1,Mlc
84,Marcasite,1,Mrc
85,Microcline,1,Mc
86,Millerite,1,Mlr
87,Molybdenite,1,Mol
88,Monazite,1,Mnz
89,Montmorillonite,1,Mnt
90,Mullite,1,Mul
91,Muscovite,1,Ms
92,Nepheline,1,Nph
93,Olivine,1,Ol
94,Omphacite,1,Omp
95,Opal,1,Opl
96,Orpiment,1,Orp
97,Orthoclase,1,Or
98,Orthopyroxene,1,Opx
99,Osumilite,1,Osm
100,Paragonite,1,Pg
101,Pentlandite,1,Pn
102,Periclase,1,Per
103,Phengite,1,Ph
104,Phlogopite,1,Phl
105,Plagioclase,1,Pl
106,Prehnite,1,Prh
107,Pumpellyite,1,Pmp
108,Pyrite,1,Py
109,Pyrochlore,1,Pcl
110,Pyrope,1,Prp
111,Pyrrhotite,1,Po
112,Quartz,1,Qz
113,Realgar,1,Rlg
114,Riebeckite,1,Rbk
115,Ringwoodite,1,Rwd
116,Rutile,1,Rt
117,Sanidine,1,Sa
118,Saponite,1,Sap
119,Sapphirite,1,
120,Scapolite,1,Scp
121,Scheelite,1,Sch
122,Sericite,1,Ser
123,Serpentine,1,Srp
124,Sillimanite,1,Sil
125,Smectite,1,Sme
126,Sodalite,1,Sdl
127,Spessartine,1,Sps
128,Sphalerite,1,Sp
129,Sphene,1,Spn
130,Spinel,1,Spl
131,Spodumene,1,Spd
132,Staurolite,1,St
133,Stilpnomelane,1,Stp
134,Sudoite,1,Sud
135,Sylvite,1,Syl
136,Talc,1,Tlc
137,Titanite,1,Ttn
138,Topaz,1,Tpz
139,Tourmaline,1,Tur
140,Tremolite,1,Tr
141,Ulvospinel,1,Usp
142,Uraninite,1,Urn
143,Vermiculite,1,Vrm
144,Vesuvianite,1,Ves
145,Wadsleyite,1,Wds
146,Wollastonite,1,Wo
147,Xenotime,1,Xtm
148,Zeolite,1,Zeo
149,Zircon,1,Zrn
150,Zoisite,1,Zo
151,Abellaite,2,
152,Abelsonite,2,
153,Abenakiite-(Ce),2,
154,Abernathyite,2,
155,Abhurite,2,
156,Abramovite,2,
157,Abswurmbachite,2,
158,Abuite,2,
159,Acanthite,2,
160,Acetamide,2,
161,Achalaite,2,
162,Achavalite,2,
163,Achyrophanite,2,
164,Acmonidesite,2,
165,Acuminite,2,
166,Adachiite,2,
167,Adamite,2,
168,Adamsite-(Y),2,
169,Adanite,2,
170,Addibischoffite,2,
171,Adelite,2,
172,Admontite,2,
173,Adolfpateraite,2,
174,Adranosite,2,
175,Adranosite-(Fe),2,
176,Adrianite,2,
177,Aegirine-augite,2,
178,Aenigmatite,2,
179,Aerinite,2,
180,Aerugite,2,
181,Aeschynite-(Ce),2,
182,Aeschynite-(Nd),2,
183,Aeschynite-(Y),2,
184,Afghanite,2,
185,Afmite,2,
186,Afwillite,2,
187,Agaite,2,
188,Agakhanovite-(Y),2,
189,Agardite-(Ce),2,
190,Agardite-(La),2,
191,Agardite-(Nd),2,
192,Agardite-(Y),2,
193,Agmantinite,2,
194,Agrellite,2,
195,Agricolaite,2,
196,Agrinierite,2,
197,Aguilarite,2,
198,Aheylite,2,
199,Ahlfeldite,2,
200,Ahrensite,2,
201,Aikinite,2,
202,Aiolosite,2,
203,Ajoite,2,
204,Akaganeite,2,
205,Akaogiite,2,
206,Akatoreite,2,
207,Akdalaite,2,
208,Akermanite,2,Ak
209,Akhtenskite,2,
210,Akimotoite,2,
211,Aklimaite,2,
212,Akopovaite,2,
213,Akrochordite,2,
214,Aksaite,2,
215,Aktashite,2,
216,Alabandite,2,
217,Alacranite,2,
218,Alamosite,2,
219,Alarsite,2,
220,Albertiniite,2,
221,Albrechtschraufite,2,
222,Alburnite,2,
223,Alcantarillaite,2,
224,Alcaparrosaite,2,
225,Aldermanite,2,
226,Aldridgeite,2,
227,Aleksandrovite,2,
228,Aleksite,2,
229,Aleutite,2,
230,Alexkhomyakovite,2,
231,Alexkuznetsovite-(La),2,
232,Alflarsenite,2,
233,Alforsite,2,
234,Alfredopetrovite,2,
235,Alfredstelznerite,2,
236,Algodonite,2,
237,Aliettite,2,
238,Allabogdanite,2,
239,Allactite,2,
240,Allanite-(Ce),2,
241,Allanite-(La),2,
242,Allanite-(Nd),2,
243,Allanite-(Y),2,
244,Allanpringite,2,
245,Allargentum,2,
246,Alleghanyite,2,
247,Allendeite,2,
248,Allochalcoselite,2,
249,Alloclasite,2,
250,Allophane,2,
251,Alloriite,2,
252,Alluaivite,2,
253,Alluaudite,2,
254,Almarudite,2,
255,Almeidaite,2,
256,Alnaperboeite-(Ce),2,
257,Alpeite,2,
258,Alpersite,2,
259,Alsakharovite-Zn,2,
260,Alstonite,2,
261,Altaite,2,
262,Alterite,2,
263,Althausite,2,
264,Althupite,2,
265,Altisite,2,
266,Alum-(K),2,
267,Alum-(Na),2,
268,Aluminite,2,
269,Aluminium,2,
270,Aluminoceladonite,2,
271,Aluminocerite-(Ce),2,
272,Aluminocopiapite,2,
273,Aluminocoquimbite,2,
274,Aluminomagnesiohulsite,2,
275,Aluminopyracmonite,2,
276,Aluminosugilite,2,
277,Alumoakermanite,2,
278,Alumoedtollite,2,
279,Alumohydrocalcite,2,
280,Alumoklyuchevskite,2,
281,Alumotantite,2,
282,Alumovesuvianite,2,
283,Alunogen,2,
284,Alvanite,2,
285,Alwilkinsite-(Y),2,
286,Amakinite,2,Amk
287,Amamoorite,2,
288,Amarantite,2,
289,Amarillite,2,
290,Amblygonite,2,
291,Ambrinoite,2,
292,Ameghinite,2,
293,Amesite,2,Ame
294,Amicite,2,
295,Aminoffite,2,
296,Ammineite,2,
297,Ammonioalunite,2,
298,Ammonioborite,2,
299,Ammoniojarosite,2,
300,Ammoniolasalite,2,
301,Ammonioleucite,2,
302,Ammoniomagnesiovoltaite,2,
303,Ammoniomathesiusite,2,
304,Ammoniovoltaite,2,
305,Ammoniozippeite,2,
306,Amstallite,2,
307,Analcime,2,
308,Anandite,2,
309,Anapaite,2,
310,Anatolyite,2,
311,Ancylite-(Ce),2,
312,Ancylite-(La),2,
313,Andersonite,2,
314,Andorite IV,2,
315,Andorite VI,2,
316,Andreadiniite,2,
317,Andremeyerite,2,
318,Andreyivanovite,2,
319,Andrianovite,2,
320,Anduoite,2,
321,Andychristyite,2,
322,Andymcdonaldite,2,
323,Andyrobertsite,2,
324,Angarfite,2,
325,Angastonite,2,
326,Angelaite,2,
327,Angelellite,2,
328,Anglesite,2,Ang
329,Anhydrokainite,2,
330,Anilite,2,
331,Ankinovichite,2,
332,Annabergite,2,
333,Anorpiment,2,
334,Anorthominasragrite,2,
335,Ansermetite,2,
336,Antarcticite,2,
337,Anthoinite,2,
338,Anthonyite,2,
339,Antimonselite,2,
340,Antimony,2,
341,Antipinite,2,
342,Antlerite,2,
343,Antofagastaite,2,
344,Anyuiite,2,
345,Anzaite-(Ce),2,
346,Apachite,2,
347,Apexite,2,
348,Aphthitalite,2,
349,Apjohnite,2,
350,Aplowite,2,
351,Apuanite,2,
352,Aqualite,2,
353,Aradite,2,
354,Arakiite,2,
355,Aramayoite,2,
356,Arangasite,2,
357,Arapovite,2,
358,Aravaipaite,2,
359,Aravaite,2,
360,Arcanite,2,
361,Archerite,2,
362,Arctite,2,
363,Arcubisite,2,
364,Ardaite,2,
365,Ardealite,2,
366,Ardennite-(As),2,
367,Ardennite-(V),2,
368,Arfvedsonite,2,Arf
369,Argandite,2,
370,Argentobaumhauerite,2,
371,Argentodufrenoysite,2,
372,Argentojarosite,2,
373,Argentoliveingite,2,
374,Argentopentlandite,2,
375,Argentopyrite,2,
376,Argentotennantite-(Zn),2,
377,Argentotetrahedrite-(Fe),2,
378,Argesite,2,
379,Argutite,2,
380,Argyrodite,2,
381,Arhbarite,2,
382,Ariegilatite,2,
383,Arisite-(Ce),2,
384,Arisite-(La),2,
385,Aristarainite,2,
386,Armalcolite,2,Arm
387,Armangite,2,
388,Armbrusterite,2,
389,Armellinoite-(Ce),2,
390,Armenite,2,
391,Armstrongite,2,
392,Arrojadite-(BaFe),2,
393,Arrojadite-(BaNa),2,
394,Arrojadite-(KFe),2,
395,Arrojadite-(KNa),2,
396,Arrojadite-(PbFe),2,
397,Arrojadite-(SrFe),2,
398,Arsenatrotitanite,2,
399,Arsenbrackebuschite,2,
400,Arsendescloizite,2,
401,Arsenic,2,
402,Arseniopleite,2,
403,Arseniosiderite,2,
404,Arsenmarcobaldiite,2,
405,Arsenmedaite,2,
406,Arsenoclasite,2,
407,Arsenocrandallite,2,
408,Arsenoflorencite-(Ce),2,
409,Arsenoflorencite-(La),2,
410,Arsenogorceixite,2,
411,Arsenogoyazite,2,
412,Arsenohauchecornite,2,
413,Arsenohopeite,2,
414,Arsenolamprite,2,
415,Arsenolite,2,
416,Arsenopalladinite,2,
417,Arsenovanmeersscheite,2,
418,Arsenowagnerite,2,
419,Arsenquatrandorite,2,
420,Arsentsumebite,2,
421,Arsenudinaite,2,
422,Arsenuranospathite,2,
423,Arsenuranylite,2,
424,Arsiccioite,2,
425,Arsmirandite,2,
426,Arthurite,2,
427,Artinite,2,
428,Artroeite,2,
429,Artsmithite,2,
430,Arupite,2,
431,Arzrunite,2,
432,Asbecasite,2,
433,Asbolane,2,
434,Aschamalmite,2,
435,Ashburtonite,2,
436,Ashcroftine-(Y),2,
437,Ashoverite,2,
438,Asimowite,2,
439,Asisite,2,
440,Askagenite-(Nd),2,
441,Aspedamite,2,
442,Aspidolite,2,
443,Asselbornite,2,
444,Astrocyanite-(Ce),2,
445,Astrophyllite,2,
446,Atacamite,2,
447,Atelestite,2,
448,Atelisite-(Y),2,
449,Atencioite,2,
450,Athabascaite,2,
451,Atheneite,2,
452,Atlasovite,2,
453,Atokite,2,
454,Attakolite,2,
455,Attikaite,2,
456,Aubertite,2,
457,Augelite,2,
458,Auriacusite,2,
459,Aurichalcite,2,
460,Auricupride,2,
461,Aurihydrargyrumite,2,
462,Aurivilliusite,2,
463,Aurorite,2,
464,Aurostibite,2,
465,Austinite,2,
466,Autunite,2,
467,Avdeevite,2,
468,Avdoninite,2,
469,Averievite,2,
470,Avicennite,2,
471,Avogadrite,2,
472,Awaruite,2,Awr
473,Axelite,2,
474,Axinite-(Fe),2,
475,Axinite-(Mg),2,
476,Axinite-(Mn),2,
477,Azoproite,2,
478,Azurite,2,
479,Babanekite,2,
480,Babefphite,2,
481,Babingtonite,2,Bab
482,Babkinite,2,
483,Backite,2,
484,Badakhshanite-(Y),2,
485,Badalovite,2,
486,Baddeleyite,2,Bdy
487,Badengzhuite,2,
488,Bafertisite,2,
489,Baghdadite,2,
490,Bahianite,2,
491,Baileychlore,2,
492,Bairdite,2,
493,Bakhchisaraitsevite,2,
494,Baksanite,2,
495,Balangeroite,2,
496,Balestraite,2,
497,Baliczunicite,2,
498,Balipholite,2,
499,Balkanite,2,
500,Balliranoite,2,
501,Balyakinite,2,
502,Bambollaite,2,
503,Bamfordite,2,
504,Banalsite,2,
505,Bandylite,2,
506,Bannermanite,2,
507,Bannisterite,2,
508,Baotite,2,
509,Barahonaite-(Al),2,
510,Barahonaite-(Fe),2,
511,Bararite,2,
512,Baratovite,2,
513,Barberiite,2,
514,Barbosalite,2,
515,Barentsite,2,
516,Bariandite,2,
517,Baricite,2,
518,Barikaite,2,
519,Bario-olgite,2,
520,Bario-orthojoaquinite,2,
521,Barioferrite,2,
522,Barioperovskite,2,
523,Bariopharmacoalumite,2,
524,Bariopharmacosiderite,2,
525,Bariosincosite,2,
526,Barlowite,2,
527,Barnesite,2,
528,Barquillite,2,
529,Barrerite,2,
530,Barringerite,2,
531,Barroisite,2,Brs
532,Barrotite,2,
533,Barrydawsonite-(Y),2,
534,Barstowite,2,
535,Bartelkeite,2,
536,Bartonite,2,
537,Barwoodite,2,
538,Barylite,2,
539,Barysilite,2,
540,Baryte,2,
541,Barytocalcite,2,
542,Barytolamprophyllite,2,
543,Bassanite,2,
544,Bassetite,2,
545,Bassoite,2,
546,Bastnasite-(Ce),2,
547,Bastnasite-(La),2,
548,Bastnasite-(Nd),2,
549,Bastnasite-(Y),2,
550,Batagayite,2,
551,Batievaite-(Y),2,
552,Batiferrite,2,
553,Batisite,2,
554,Batisivite,2,
555,Baumhauerite,2,
556,Baumhauerite II,2,
557,Baumoite,2,
558,Baumstarkite,2,
559,Bauranoite,2,
560,Bavenite,2,
561,Bavsiite,2,
562,Bayerite,2,
563,Bayldonite,2,
564,Bayleyite,2,
565,Baylissite,2,
566,Bazhenovite,2,
567,Bazirite,2,
568,Bazzite,2,
569,Bearsite,2,
570,Bearthite,2,
571,Beaverite-(Cu),2,
572,Beaverite-(Zn),2,
573,Bechererite,2,
574,Beckettite,2,
575,Becquerelite,2,
576,Bederite,2,
577,Behierite,2,
578,Behoite,2,
579,Behounekite,2,
580,Beidellite,2,Bei
581,Belakovskiite,2,
582,Belendorffite,2,
583,Belkovite,2,
584,Bellbergite,2,
585,Bellidoite,2,
586,Bellingerite,2,
587,Belloite,2,
588,Belogubite,2,
589,Belomarinaite,2,
590,Belousovite,2,
591,Belovite-(Ce),2,
592,Belovite-(La),2,
593,Belyankinite,2,
594,Bementite,2,
595,Benauite,2,
596,Benavidesite,2,
597,Bendadaite,2,
598,Benitoite,2,
599,Benjaminite,2,
600,Benleonardite,2,
601,Bennesherite,2,
602,Benstonite,2,
603,Bentorite,2,
604,Benyacarite,2,
605,Beraunite,2,
606,Berborite,2,
607,Berdesinskiite,2,
608,Berezanskite,2,
609,Bergenite,2,
610,Bergslagite,2,
611,Berlinite,2,
612,Bermanite,2,
613,Bernalite,2,
614,Bernardite,2,
615,Bernarlottiite,2,
616,Berndtite,2,
617,Berryite,2,
618,Berthierine,2,
619,Berthierite,2,
620,Bertossaite,2,
621,Bertrandite,2,
622,Beryllite,2,
623,Beryllonite,2,
624,Berzelianite,2,
625,Berzeliite,2,
626,Beshtauite,2,
627,Betalomonosovite,2,
628,Betekhtinite,2,
629,Betpakdalite-CaCa,2,
630,Betpakdalite-CaMg,2,
631,Betpakdalite-FeFe,2,
632,Betpakdalite-NaCa,2,
633,Betpakdalite-NaNa,2,
634,Bettertonite,2,
635,Beudantite,2,
636,Beusite,2,
637,Beusite-(Ca),2,
638,Beyerite,2,
639,Bezsmertnovite,2,
640,Biachellaite,2,
641,Bianchiniite,2,
642,Bianchite,2,
643,Bicapite,2,
644,Bicchulite,2,
645,Bideauxite,2,
646,Bieberite,2,
647,Biehlite,2,
648,Bigcreekite,2,
649,Bijvoetite-(Y),2,
650,Bikitaite,2,
651,Bilibinskite,2,
